mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,7.76,7.76,152
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,7.6,7.6,141
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,6.76,6.81,148
6F9BED37XPvAibaEXe9a9WHB728zIB4h7e7yTZjQ,1.8,7.56,5
FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,0.71,0,0
850C19C2XPvAibaEXe9gcLLHJLBBnZC5o6sMc8cs,2.47,5.96,19
39B20F4DXPvAibaEXe9gcLLHJLBBnc8cdqv19Ylu,6.7,7.14,153
2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,7.18,7.18,137
61180195XPvAibaEXe9gcLLHJLBBnR5wpoU3apq+,2.59,0,0
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,7.1,7.1,144
8E862257XPvAibaEXe86sbeN0/YCTScV+FsBuwvo,2.09,5.44,7
3F21B786XPvAibaEXe86sbeN0/YCTQd15EVD6n3Y,8.08,8.08,148
94D74F41XPvAibaEXe86sbeN0/YCTcr3p20VvmtV,7.07,7.14,146
71279AEDXPvAibaEXe86sbeN0/YCTci+47cxm1GJ,8.15,8.15,141
29418E5AXPvAibaEXe9WgQQLl7rkk4fctYOOBzzg,7.43,7.43,144
A15DA8F6XPvAibaEXe9WgQQLl7rkk+hRH2dNOhqK,7.6,7.6,144
2A0595D9XPvAibaEXe/YiexZYoq8n+O9NW7PU1Ee,7.04,7.04,147
F47350D9XPvAibaEXe/YiexZYoq8n8FP0R71ulza,6.79,7.24,153
B7380E4AXPvAibaEXe/YiexZYoq8n1s2gydCY2+d,6.81,6.81,141
4E6F6B53XPvAibaEXe/YiexZYoq8nzCPwcgxhSoR,6.7,6.83,155
0B2AAC0EXPvAibaEXe9CJmVsz9P34qS8MDP5qhfn,6.47,6.47,155
55C4950AXPvAibaEXe9CJmVsz9P34pEFprlIxi9u,7.42,7.42,144
106C1014XPvAibaEXe9CJmVsz9P34llPLLtWfMbO,4.11,6.1,6
2D62888EXPvAibaEXe9CJmVsz9P34tT9eWJLg/yU,7.94,7.94,152
10BC2077XPvAibaEXe+JF4o+SEKcGNvyuiGTmxfU,7.05,7.05,148
D907516FXPvAibaEXe+JF4o+SEKcGHJ11J0czGJq,6.78,6.96,145
2D7CECE5XPvAibaEXe+JF4o+SEKcGCMQzap69uIQ,6.99,7.5,98
43D5F13BXPvAibaEXe+JF4o+SEKcGJ+PtNJ2F/he,7.33,7.33,153
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,8.09,8.09,146
7A0295BEXPvAibaEXe9GqQkS1wvjIY8Eyvx1K5/i,6.04,6.96,123
C4CBD3D0XPvAibaEXe9GqQkS1wvjIfdwTUgYoH3P,3.4,6.8,11
90F47A12XPvAibaEXe9GqQkS1wvjITU0dFA1PexQ,4.32,6.36,36
E02A6A52XPvAibaEXe/cEeFLbzGe/hwNl8VDkNKQ,7.41,7.41,146
CC2D217FXPvAibaEXe/cEeFLbzGe/s5QKClAH5xl,7.96,7.96,151
E0A5856FXPvAibaEXe/cEeFLbzGe/jly/D0Mp+/C,7.12,7.12,152
8AB3A116XPvAibaEXe9wQ8rkPICemLrEZksxFZ06,7.45,7.45,150
972819C7XPvAibaEXe9wQ8rkPICemPv3jFt4txx0,6.68,6.68,149
20D7E56CXPvAibaEXe/waquVAMA8TuGBUB8n1U9w,7.87,7.87,144
CF6241C1XPvAibaEXe/waquVAMA8Too/KBELswxp,8.08,8.08,153
A0E31B91XPvAibaEXe9IFJLLU9DVVaKpbxrx9JEi,7,7,147
7806D9BAXPvAibaEXe9IFJLLU9DVVQ7bFL8KvJIW,7.34,7.34,149
CC81CA80XPvAibaEXe9OORQ1xsw6nmPmbrn5VcAQ,6.88,8.31,77
95812940XPvAibaEXe9OORQ1xsw6noRj8oxMKORS,7.44,7.44,154
D4C6B151XPvAibaEXe9OORQ1xsw6njzMKsUwYGIs,6.91,6.91,146
896CE9CAXPvAibaEXe/agc6/owW5CMZVwqpzV2xw,7.47,7.62,141
B3F16D5DXPvAibaEXe/agc6/owW5CGwRRuccquwf,7.18,7.18,141
C2218479XPvAibaEXe/agc6/owW5CH4478G8f1TP,7.57,7.57,154
EA6B1CE3XPvAibaEXe/agc6/owW5CCUBcx4z66Gh,7.51,7.71,152
