mssv,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_hk11,sotc_hk12,sotc_hk13,sotc_hk14,sotc_hk15,sotc_hk16,sotc_hk17,sotc_hk18,sotc_hk19,sotc_hk20,sotc_hk21,sotc_hk22
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,19,19.0,4.0,23.0,21.0,16.0,16.0,16.0,15.0,14.0,,,,,,,,,,,,
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,20,18.0,16.0,15.0,3.0,20.0,,,,,,,,,,,,,,,,
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,22,19.0,20.0,4.0,25.0,23.0,4.0,27.0,16.0,,,,,,,,,,,,,
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,13,15.0,22.0,23.0,22.0,24.0,17.0,11.0,17.0,,,,,,,,,,,,,
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,17,18.0,18.0,19.0,14.0,20.0,12.0,14.0,18.0,,,,,,,,,,,,,
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,20,15.0,16.0,20.0,21.0,19.0,23.0,2.0,,,,,,,,,,,,,,
00C64B85XPvAibaEXe/GFbVLDV6SZJlZKXs0/KN4,0,,,,,,,,,,,,,,,,,,,,,
00CA4312XPvAibaEXe+rkciJLhYkX9LrDhs86+oX,22,,,,,,,,,,,,,,,,,,,,,
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,18,21.0,23.0,17.0,19.0,17.0,23.0,,,,,,,,,,,,,,,
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,20,22.0,17.0,18.0,19.0,22.0,18.0,4.0,,,,,,,,,,,,,,
00D6A536XPvAibaEXe8Rsz5OHfshwIAz2xO/cOdY,18,,,,,,,,,,,,,,,,,,,,,
00D6DC46XPvAibaEXe9KRifo2bJPJD+Zu7F2mpg5,16,19.0,21.0,,,,,,,,,,,,,,,,,,,
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,19,19.0,18.0,17.0,17.0,,,,,,,,,,,,,,,,,
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,19,19.0,21.0,17.0,8.0,18.0,22.0,4.0,24.0,20.0,4.0,14.0,4.0,4.0,,,,,,,,
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,13,16.0,7.0,21.0,24.0,12.0,8.0,,,,,,,,,,,,,,,
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,17,20.0,4.0,22.0,17.0,17.0,14.0,20.0,14.0,,,,,,,,,,,,,
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,18,18.0,20.0,,,,,,,,,,,,,,,,,,,
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,17,16.0,19.0,19.0,22.0,14.0,16.0,,,,,,,,,,,,,,,
00E79D3DXPvAibaEXe8KqSssRcgb+XyRiJFP8xLe,22,,,,,,,,,,,,,,,,,,,,,
00E902B0XPvAibaEXe9syTSxuDl8vm0fhXJrG91q,20,22.0,19.0,,,,,,,,,,,,,,,,,,,
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,17,14.0,19.0,12.0,18.0,13.0,18.0,18.0,6.0,,,,,,,,,,,,,
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,13,18.0,25.0,18.0,9.0,13.0,7.0,7.0,6.0,6.0,8.0,8.0,,,,,,,,,,
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,15,19.0,23.0,17.0,19.0,,,,,,,,,,,,,,,,,
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,19,21.0,20.0,19.0,23.0,,,,,,,,,,,,,,,,,
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,21,15.0,20.0,16.0,16.0,24.0,11.0,10.0,,,,,,,,,,,,,,
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,20,19.0,18.0,19.0,16.0,,,,,,,,,,,,,,,,,
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,16,22.0,19.0,19.0,22.0,15.0,10.0,0.0,,,,,,,,,,,,,,
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,19,21.0,20.0,21.0,16.0,19.0,17.0,15.0,16.0,,,,,,,,,,,,,
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,22,19.0,25.0,25.0,16.0,21.0,18.0,14.0,,,,,,,,,,,,,,
0116EBB1XPvAibaEXe/kKctW1IjPXrvAfln7HF4O,18,18.0,21.0,16.0,23.0,,,,,,,,,,,,,,,,,
011C8C36XPvAibaEXe+hiNwRJR1W0NNfQIPrrkvA,17,,,,,,,,,,,,,,,,,,,,,
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,13,18.0,18.0,17.0,11.0,18.0,16.0,14.0,16.0,7.0,,,,,,,,,,,,
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,20,23.0,21.0,20.0,7.0,19.0,25.0,23.0,18.0,10.0,4.0,,,,,,,,,,,
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,16,16.0,15.0,10.0,17.0,24.0,23.0,11.0,4.0,,,,,,,,,,,,,
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,17,23.0,19.0,18.0,25.0,17.0,19.0,18.0,10.0,10.0,,,,,,,,,,,,
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,17,23.0,4.0,,,,,,,,,,,,,,,,,,,
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,15,15.0,7.0,21.0,21.0,7.0,12.0,7.0,6.0,6.0,2.0,,,,,,,,,,,
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,19,7.0,7.0,16.0,15.0,7.0,19.0,16.0,17.0,14.0,21.0,15.0,,,,,,,,,,
014936F9XPvAibaEXe/8RrU8iVBfOr/Ldf/cdiET,14,,,,,,,,,,,,,,,,,,,,,
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,20,20.0,24.0,19.0,18.0,18.0,14.0,12.0,,,,,,,,,,,,,,
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,13,20.0,19.0,8.0,24.0,22.0,10.0,,,,,,,,,,,,,,,
