id,mssv,ngaythi,url,loaixn,url_1,loaixn_2,listening,speaking,reading,writing,tongdiem,lydo,trangthai,ngayxl
282.0,CAF9C110XPvAibaEXe8t4cDFHKW3SZrcOzqm7rb0,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18521052/18521052_chungchi_Cambrigde_20180824111101.jpg', 'Cambrigde',,,,,, '',1, '',1, '2018-12-27 11:07:31'
283.0,D08B1506XPvAibaEXe8zN2KKhdLFuuhH2v5Uo+JF,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18520953/18520953_chungchi_IELTS_20180824114920.jpg', 'IELTS',,,,,, '',1, '',1, '2018-09-26 11:33:43'
284.0,1BCAFD35XPvAibaEXe+O+EbU9awW5lgSl0wQvCSG,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18521359/18521359_chungchi_NHAT_20180824143055.jpg', 'NHAT',,,,,, 'SV đạt chuẩn đầu ra',1, 'SV đạt chuẩn đầu ra',1, '2018-12-05 08:49:14'
285.0,BCD86AE3XPvAibaEXe+Hl3bsG7JYGtcGbEqKhOAN, '2015-04-16', 'bangcap/18520710/18520710_bangcap_TOEIC_LR_20180825073915.jpg', 'TOEIC_LR',495.0,,495.0,,470.0, '',1, '',1, '2018-09-13 10:07:23'
286.0,F6AB4799XPvAibaEXe+TUHAdEwrOx90Tv2fpdvvg,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18521676/18521676_chungchi_Cambrigde_20180827091439.jpg', 'Cambrigde',,,,,, '',1, '',1, '2018-12-27 11:04:41'
287.0,D08B1506XPvAibaEXe8zN2KKhdLFuuhH2v5Uo+JF,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18520953/18520953_chungchi_IELTS_20180828101032.jpg', 'IELTS',,,,,, '',1, '',1, '2018-09-13 10:17:21'
289.0,0F00DACFXPvAibaEXe+MR0BPJNCxyebIVSgcjQps,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18521283/18521283_chungchi_IELTS_20180828101358.jpg', 'IELTS',,,,,, '',1, '',1, '2018-09-26 11:28:36'
292.0,678A7E53XPvAibaEXe86736b6Ol+/Jgt4POkxWzn, '2018-07-01', 'bangcap/13520178/13520178_bangcap_TOEIC_LR_20180904192140.jpg', 'TOEIC_LR',315.0,,315.0,,275.0, '',1, '',1, '2018-10-24 10:40:29'
293.0,29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha, '2018-02-03', 'bangcap/13520161/13520161_bangcap_IELTS_20180905004418.jpg', 'IELTS',,,,,, '',1, '',1, '2018-09-26 11:20:48'
295.0,CD7A6C19XPvAibaEXe97hU2RTHdNnNIGUUu3Ml4m, '2018-08-18', 'bangcap/13520775/13520775_bangcap_TOEIC_LR_20180906192247.jpg', 'TOEIC_LR',370.0,,370.0,,385.0, '',1, '',1, '2018-10-24 10:41:13'
297.0,72CEA909XPvAibaEXe+vL6q6thZ0NkWLVg2Q6x2D, '2018-08-18', 'bangcap/13520703/13520703_bangcap_TOEIC_LR_20180908102117.jpg', 'TOEIC_LR',255.0,,255.0,,290.0, '',1, '',1, '2018-10-24 10:41:26'
298.0,05654038XPvAibaEXe9JdUmjPcaT8qIMCNLlkTTg, '2018-08-18', 'bangcap/13520969/13520969_bangcap_TOEIC_LR_20180908102431.jpg', 'TOEIC_LR',240.0,,240.0,,240.0, '',1, '',1, '2018-10-24 10:41:36'
303.0,80EB2FFFXPvAibaEXe9g6r/97VInJkZhfYdS0/r3, '2018-05-27', 'bangcap/17520683/17520683_bangcap_TOEIC_LR_20180909131655.jpg', 'TOEIC_LR',255.0,,255.0,,285.0, '',1, '',1, '2018-10-24 10:45:20'
304.0,2C379B39XPvAibaEXe+TFgEDwYNnvSCTBlVUKxPt, '2018-08-22', 'bangcap/13520395/13520395_bangcap_TOEIC_LR_20180909225954.jpg', 'TOEIC_LR',375.0,,375.0,,350.0, '',1, '',1, '2018-10-24 10:45:39'
306.0,8B9C9D85XPvAibaEXe/M+/uAwVeHhFw+4PtC9yPm,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520941/17520941_chungchi_TOEIC_LR_20180910105717.jpg', 'TOEIC_LR',320.0,,320.0,,320.0, '',1, '',1, '2018-10-24 10:46:08'
308.0,AE2C4867XPvAibaEXe/Lh6v1XxTKJdYKiEjXsiho, '2018-08-18', 'bangcap/13520358/13520358_bangcap_TOEIC_LR_20180911152936.jpg', 'TOEIC_LR',295.0,,295.0,,205.0, '',1, '',1, '2018-10-24 10:46:23'
309.0,C6114925XPvAibaEXe/Bn5cQSu92WepaWyZsqola, '2018-08-18', 'bangcap/13520563/13520563_bangcap_TOEIC_LR_20180911153143.jpg', 'TOEIC_LR',350.0,,350.0,,375.0, '',1, '',1, '2018-10-24 10:46:36'
311.0,F8F31D23XPvAibaEXe/uH+ehSKMSjeRjIY7xBtl6, '2018-08-04', 'bangcap/13520461/13520461_bangcap_TOEIC_LR_20180911154702.jpg', 'TOEIC_LR',295.0,,295.0,,230.0, '',1, '',1, '2018-10-24 10:46:51'
312.0,17284407XPvAibaEXe+tg0ae8qw/gu8mbQ9Gdz1t, '2018-06-29', 'bangcap/14520115/14520115_bangcap_TOEIC_LR_20180912000504.jpg', 'TOEIC_LR',325.0,,325.0,,360.0, '',1, '',1, '2018-10-24 10:47:05'
313.0,4D1054A2XPvAibaEXe8WD3qnVG2b/aV/yYzs56/D, '2018-06-12', 'bangcap/13520453/13520453_bangcap_TOEIC_LR_20180912103448.jpg', 'TOEIC_LR',310.0,,310.0,,215.0, '',1, '',1, '2018-09-20 14:14:28'
315.0,762DE645XPvAibaEXe+Qnco6wu+o6K8lGUCDrTF7, '2017-12-03', 'bangcap/15520195/15520195_bangcap_NHAT_20180913102927.jpg', 'NHAT',,,,,, 'SV đạt chuẩn đầu ra',1, 'SV đạt chuẩn đầu ra',1, '2018-12-05 08:48:09'
316.0,D8A433FEXPvAibaEXe/9XMaU/9dsP4HOIzNsbFZq, '2018-04-19', 'bangcap/14520681/14520681_bangcap_TOEIC_LR_20180914101025.jpg', 'TOEIC_LR',350.0,,350.0,,280.0, '',1, '',1, '2018-10-24 10:51:15'
317.0,A1BE3E99XPvAibaEXe/Lh6v1XxTKJbwWcn952SwN, '2018-08-25', 'bangcap/13520357/13520357_bangcap_TOEIC_LR_20180914224343.jpg', 'TOEIC_LR',345.0,,345.0,,245.0, '',1, '',1, '2018-10-24 10:51:50'
318.0,6A34DC14XPvAibaEXe9HKUC7sboLjsk46RkohDVv, '2018-09-07', 'bangcap/13520843/13520843_bangcap_TOEIC_LR_20180918174318.jpg', 'TOEIC_LR',245.0,,245.0,,225.0, '',1, '',1, '2018-10-24 10:52:23'
319.0,96967470XPvAibaEXe9upvU5DvuC9vY0bll+Ov+G, '2018-09-04', 'bangcap/13520484/13520484_bangcap_TOEIC_LR_20180918200224.jpg', 'TOEIC_LR',335.0,,335.0,,345.0, '',1, '',1, '2018-10-24 10:57:32'
322.0,31A43CCEXPvAibaEXe+9uXUaDIzyiCbIDnHZK9MV, '2016-11-22', 'bangcap/17521119/17521119_bangcap_TOEIC_LR_20180919225730.jpg', 'TOEIC_LR',265.0,,265.0,,360.0, '',1, '',1, '2018-11-02 14:22:04'
323.0,23A7E8BEXPvAibaEXe+gsTDvgY5pDo2vfA/gYRvk, '2018-06-14', 'bangcap/13520889/13520889_bangcap_TOEIC_LR_20180920185112.jpg', 'TOEIC_LR',260.0,,260.0,,200.0, '',1, '',1, '2018-10-24 10:59:11'
326.0,3FF22D23XPvAibaEXe+Wjq/eoSKNhczbNnVuluTK, '2018-09-08', 'bangcap/14520496/14520496_bangcap_VNU-EPT_20180926095202.png', 'VNU-EPT',,,,,, '',1, '',1, '2018-09-27 14:40:42'
