mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
00A19556XPvAibaEXe8LS2f+PMhnWcTY0SCqnvj7,HTTT04,0,0,0,0,0,5,40,,,,,,,
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,CNTT2015,100,64,56,52,82,90,86,75,73,,,,,
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,CNCL2018,85,80,100,70,96,84,84,60,67,,,,,
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,CNTT2016,56,48,62,30,67,60,66,,,,,,,
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,KTPM2014,56,51,55,50,61,65,63,68,60,70,62,50,58,
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,MTCL2015,80,70,68,76,80,75,70,83,56,50,53,,,
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,KTPM2020,100,80,82,75,87,,,,,,,,,
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,,61,57,60,88,70,68,70,65,,,,,,
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,HTTT2015,75,54,52,67,76,80,80,70,62,50,53,50,,
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,MTCL2018,80,80,79,81,76,91,84,74,71,,,,,
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,MMCL2018,85,80,90,90,100,100,94,75,83,,,,,
00CA4312XPvAibaEXe+rkciJLhYkX9LrDhs86+oX,MMTT2022,87,,,,,,,,,,,,,
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,CNCL2019,90,75,81,82,76,69,66,,,,,,,
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,CNTT2017,78,75,76,75,79,74,76,76,,,,,,
00D57B2CXPvAibaEXe9fG+Eba8DRT+L5HFKCs8+7,KTMT06,66,66,80,86,90,87,85,79,74,,,,,
00D6A536XPvAibaEXe8Rsz5OHfshwIAz2xO/cOdY,KHMT2022,86,,,,,,,,,,,,,
00D6DC46XPvAibaEXe9KRifo2bJPJD+Zu7F2mpg5,ATTN2021,100,100,100,,,,,,,,,,,
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,ATTT2020,90,100,100,100,100,,,,,,,,,
00D998E7XPvAibaEXe9zxSCPaAyRSwstrMEX+Clk,KTMT06,58,58,64,67,47,2,,,,,,,,
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,MTCL2015,32,69,43,35,67,78,80,85,70,50,58,,,
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,HTTT2016,61,50,80,79,65,55,,,,,,,,
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,MTCL2017,80,80,76,80,70,84,86,100,86,82,,,,
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,KTPM2021,98,100,100,,,,,,,,,,,
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,KTMT2019,81,74,85,72,77,79,76,,,,,,,
00E79D3DXPvAibaEXe8KqSssRcgb+XyRiJFP8xLe,MMTT2022,100,,,,,,,,,,,,,
00E902B0XPvAibaEXe9syTSxuDl8vm0fhXJrG91q,MTIO2021,100,100,100,,,,,,,,,,,
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,MTCL2018,85,79,66,87,70,81,77,60,73,,,,,
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,MMTT2015,67,36,64,41,56,56,63,55,47,,,,,
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,ATTT2020,81,94,100,68,77,,,,,,,,,
00F4837BXPvAibaEXe8KD3NeV8Rp2uSExGyQ9Jh0,KTMT04,60,60,100,100,100,100,,,,,,,,
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,MMCL2020,100,100,100,90,98,,,,,,,,,
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,PMCL2018,95,95,100,100,100,100,100,99,,,,,,
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,KTPM2020,100,96,100,100,96,,,,,,,,,
0108A35DXPvAibaEXe9TdRgiaG+D6UO+Nt0SSqSP,,83,,,,,,,,,,,,,
010ADE2EXPvAibaEXe+nMqNhjtt9Y8KIg355Y2bI,CNPM05,0,77,77,97,97,70,59,62,68,,,,,
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,CNTT2018,90,95,100,100,100,100,91,85,,,,,,
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,PMCL2016,70,90,90,85,81,85,95,100,74,,,,,
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,,82,78,93,63,81,64,75,66,,,,,,
0116EBB1XPvAibaEXe/kKctW1IjPXrvAfln7HF4O,TMCL2020,100,86,90,90,75,,,,,,,,,
011C8C36XPvAibaEXe+hiNwRJR1W0NNfQIPrrkvA,CNNB2022,89,,,,,,,,,,,,,
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,PMCL2017,80,75,68,67,77,72,79,70,79,74,,,,
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,ANTN2014,100,97,81,86,62,68,80,75,68,79,50,50,53,
012892FDXPvAibaEXe/1p0g3PD/9WUTw6fZn50kI,,55,,,,,,,,,,,,,
0128EAA3XPvAibaEXe8GdejRAl8Wnc0w6KpamDBh,KHMT05,0,65,65,55,55,72,59,56,42,,,,,
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,ATCL2018,77,67,58,69,88,91,100,90,64,,,,,
012D5FA0XPvAibaEXe8ekJLnPa5PiwwwoUly7zXh,,85,82,93,84,85,83,97,68,25,50,50,,,
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,KTPM2014,70,83,75,66,55,57,61,42,65,70,58,50,53,
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,CNTT2015,100,80,9,20,,,,,,,,,,
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,CNTT2016,59,50,61,67,71,62,70,61,45,,,,,
0139AC75XPvAibaEXe89bNkMdezIq6vU9wjy+VLy,,38,,,,,,,,,,,,,
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,KHTN2015,81,49,57,55,59,68,60,55,50,50,,,,
01436C7BXPvAibaEXe9/YqvzmJSV2r8wGN8lf5We,,84,,,,,,,,,,,,,
014936F9XPvAibaEXe/8RrU8iVBfOr/Ldf/cdiET,CNTT2022,99,,,,,,,,,,,,,
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,KTPM2017,80,80,85,95,100,100,100,100,91,92,,,,
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,TMCL2019,90,99,87,90,100,96,94,,,,,,,
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,MTCL2021,100,100,100,,,,,,,,,,,
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,MTCL2016,61,75,86,90,86,85,100,100,93,58,58,58,50,
0154E43EXPvAibaEXe9Zf5/2ioDjyXvhb/ezd6g0,ATTT2022,81,,,,,,,,,,,,,
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,CNTT2015,95,88,83,80,100,100,81,85,73,58,53,,,
0155F093XPvAibaEXe85dXQU86uLqurdL0uRwFQi,KTMT04,60,60,76,76,68,68,76,62,,,,,,
0158F6BAXPvAibaEXe+uerJTeDQlAcQOde1PcQVK,MMT05,0,97,97,100,100,100,100,100,98,,,,,
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,KHCL2020,95,95,100,100,100,,,,,,,,,
01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8,TMCL2019,90,74,45,,,,,,,,,,,
016A65AFXPvAibaEXe/lH5+82A23A4hTXjkggMk1,CNPM04,70,70,77,51,68,78,,,,,,,,
016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/,MMCL2019,73,70,58,66,63,,,,,,,,,
01728002XPvAibaEXe/aKtNDHjDg7XzAUeuYwUoZ,MMCL2021,92,81,100,,,,,,,,,,,
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,KHCL2019,95,100,100,90,100,100,81,,,,,,,
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,PMCL2021,98,100,100,,,,,,,,,,,
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,PMCL2016,69,36,60,70,63,58,58,58,,,,,,
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,MMTT2020,100,100,100,81,84,,,,,,,,,
0183EC24XPvAibaEXe9/Gb/OX3UNHqZX6lNJWrK/,MMT04,60,60,89,89,80,80,80,74,,,,,,
018688CAXPvAibaEXe96Y2OKPPTIZMPEXLKYzr8N,HTTT2021,100,100,100,,,,,,,,,,,
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,MMTT2015,84,61,74,67,63,,,,,,,,,
01880A2FXPvAibaEXe8hJLoHwjvGITo4ncUrHTNU,CNTN04,75,75,90,96,89,81,,,,,,,,
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,HTCL2017,80,80,81,75,81,82,72,71,85,79,58,,,
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,MTCL2019,100,100,100,100,100,100,100,,,,,,,
019408C0XPvAibaEXe9fmk+IGAumNdUM6Phb8veW,CNPM04,80,80,92,92,99,99,100,100,,,,,,
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,CNTT2019,100,100,100,100,100,100,100,,,,,,,
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,CNCL2020,83,84,82,86,81,,,,,,,,,
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,PMCL2020,100,100,100,100,100,,,,,,,,,
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,KTMT2019,78,66,75,72,80,66,66,,,,,,,
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,MTCL2016,60,80,85,90,90,80,88,91,93,,,,,
01B43A91XPvAibaEXe+405HcUVDyrjiFxCzRPXI9,KTPM2022,86,,,,,,,,,,,,,
01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn,ANTN2016,38,32,28,,,,,,,,,,,
01B6900DXPvAibaEXe/yrq6BQ570Qs6OoQcoW3b6,HTTT04,65,65,77,73,77,72,,,,,,,,
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,CTTT2015,87,80,69,76,80,80,80,90,90,50,53,50,,
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,MMTT2017,55,62,55,66,67,75,59,81,82,77,65,,,
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,ATTT2020,91,100,95,93,96,,,,,,,,,
01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,,55,,,,,,,,,,,,,
01CF824BXPvAibaEXe+VwvO/x+AvlmG8DPGukDOw,CNPM04,0,0,0,0,40,40,,,,,,,,
01D07381XPvAibaEXe/kLXGQZojyiX0YyjBfm3xz,HTTT2022,100,,,,,,,,,,,,,
01D17AF7XPvAibaEXe+RuJt6KkmrDL2iuaLrn1k6,CTTT2020,100,100,100,100,83,,,,,,,,,
01D76729XPvAibaEXe8p+Buz4QuyY+shx0n30bae,MTCL2021,100,90,95,,,,,,,,,,,
01E3E064XPvAibaEXe9TiGIvRgTlW7dNdrpPnNWF,KHTN2022,90,,,,,,,,,,,,,
01FC84E3XPvAibaEXe8kgetl0RKXUp37EUoBxHWk,KHMT2022,90,,,,,,,,,,,,,
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,KHNT2021,97,100,100,,,,,,,,,,,
0228A14DXPvAibaEXe/S2GAGS7TusFPD1HnqVv4e,MTCL2021,93,78,95,,,,,,,,,,,
0229A978XPvAibaEXe9l64yhPVxhaWeJUNcrCnmf,MMTT2021,88,73,77,,,,,,,,,,,
022F92FFXPvAibaEXe8m7ybKj0ITrwbZ3v50vX4r,TMĐT2020,92,91,94,93,86,,,,,,,,,
0231E650XPvAibaEXe8Uni3vOWXwqI15Y1ecKZ4d,TMĐT2021,100,90,95,,,,,,,,,,,
023650DCXPvAibaEXe89VXWOfLZi30DKxr9Q0GQR,KTMT04,0,0,0,40,,,,,,,,,,
0238C60FXPvAibaEXe/H1VZJBzJAwvbgak7AXdRX,CNTT2014,23,,,,,,,,,,,,,
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,ATCL2019,100,100,100,100,100,100,100,,,,,,,
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,PMCL2017,80,75,76,75,83,79,66,73,76,66,58,,,
023F89C8XPvAibaEXe/7Lh49MHjRPu+RMRzizfCa,MMT04,55,55,76,76,99,99,91,90,,,,,,
0240B76EXPvAibaEXe8KSegZW1rFPLOz0dvU4sSm,,87,58,86,79,69,80,62,64,41,,,,,
0244B415XPvAibaEXe91TSm2Uq+S2wGSrXl/U+VW,CNNB2022,87,,,,,,,,,,,,,
02471672XPvAibaEXe/wcf8soaIdyu4B652y6lan,CNCL2021,82,58,58,,,,,,,,,,,
024CBC8DXPvAibaEXe+rQqH2xQ3mKzcD3bDBELXl,HTCL2021,95,100,100,,,,,,,,,,,
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,HTTT2017,90,90,85,85,100,100,100,99,76,92,,,,
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,,72,71,72,53,67,44,60,64,63,63,60,65,50,
